"colors","color_category"
"#000AFF","Gravrøse"
"#EBFF00","Bosættelse, uspec undergruppe"
"#70FF00","Enkeltfund"
"#FF3D00","Votivfund"
"#FF1F00","Jordfæstegrav"
"#00E0FF","Brandplet"
"#FF00D6","Kirke"
"#00FF85","Kirkegård"
"#00FFA3","Bautasten"
"#FF0000","Skåltegn"
"#00FFFF","Gravgenstand"
"#14FF00","Brandgrav (uspecificeret type)"
"#FF007A","Rundhøj"
"#00FF47","Kulturlag"
"#52FF00","Hus (evt. med stald)"
"#CC00FF","Depotfund"
"#FF00F5","Stenkiste"
"#FF9900","Stenbygget grav"
"#8FFF00","Møntfund"
"#00FFC2","Begravelse, uspec undergruppe"
"#8F00FF","Stenlægning/Stensamling"
"#00A3FF","Kogegrube"
"#5200FF","Affaldsgrube"
"#00FFE0","Markrøse"
"#0085FF","Mindesmærke"
"#FFB800","Borg/Voldsted"
"#FF005C","Hegn/gærde"
"#FF0099","Dysse eller jættestue"
"#FF003D","Marksystem"
"#AD00FF","Jern"
"#FFD600","Stensætning"
"#FFF500","Langhøj"
"#3300FF","Urnegrav (uspecificeret type)"
"#0047FF","Ildsted"
"#FF7A00","Brønd"
"#FF00B8","Hulvej"
"#1400FF","Bygning"
"#EB00FF","Vrag"
"#7000FF","Diverse anlæg og genstande, uspec undergruppe"
"#00FF0A","Grube (uspecificeret funktion)"
"#FF001F","Skelet"
"#00FF29","Skaldynge"
"#0029FF","Dysse"
"#FF5C00","Vej"
"#0066FF","Genforeningssten"
"#ADFF00","Gård"
"#00FF66","Grubehus"
"#00C2FF","Stolpehul m. uvis funktion"
"#CCFF00","Milepæl/-sten"
"#33FF00","Saltudvinding"
"#000000","other"
